#ImageNum,Time,NormRi,NormSigRi
27,0.000000,0.999978,0.002102
28,0.109717,1.003045,0.002114
29,0.219183,1.027032,0.002150
30,0.328650,1.019056,0.002131
31,0.438100,1.011360,0.002118
32,0.547567,0.997652,0.002097
33,0.657017,1.022303,0.002155
34,0.766217,0.994103,0.002100
35,0.875417,0.996644,0.002106
36,0.984367,1.014771,0.002137
37,1.094083,1.024353,0.002137
38,1.203033,1.027615,0.002148
39,1.311700,1.017150,0.002120
40,1.420650,1.016477,0.002127
42,1.638533,1.010955,0.002119
43,1.747200,1.019762,0.002140
44,1.856400,1.024317,0.002143
45,1.965600,1.010072,0.002107
46,2.075067,1.011759,0.002128
47,2.184000,1.028065,0.002150
48,2.293467,1.021392,0.002123
49,2.402933,1.007204,0.002111
50,2.512133,1.007440,0.002115
51,2.621850,1.015711,0.002130
52,2.731300,1.002484,0.002102
53,2.840767,1.030887,0.002144
54,2.950233,1.010824,0.002110
55,3.059950,1.035904,0.002157
56,3.169150,1.022199,0.002128
57,3.278617,1.026222,0.002146
58,3.388333,1.033648,0.002156
59,3.497783,1.007521,0.002116
60,3.607517,1.011070,0.002113
61,3.716967,1.019615,0.002135
62,3.826167,0.996929,0.002092
100,7.989567,0.998004,0.002086
101,8.098767,1.003712,0.002107
102,8.208483,1.010051,0.002119
103,8.317950,1.004232,0.002101
104,8.427417,1.010150,0.002104
105,8.536617,1.011003,0.002113
106,8.645550,1.023992,0.002134
107,8.754500,1.007497,0.002115
108,8.863433,0.995151,0.002090
109,8.972367,1.017286,0.002124
110,9.082350,0.985979,0.002065
111,9.191550,1.018739,0.002126
112,9.300750,1.023965,0.002131
113,9.410217,1.014905,0.002123
114,9.519417,1.020552,0.002125
115,9.628867,1.011410,0.002113
116,9.738600,1.017144,0.002127
117,9.848317,0.996930,0.002079
118,9.957000,1.020774,0.002127
119,10.066967,0.992628,0.002084
120,10.176950,1.011572,0.002117
121,10.286417,1.025531,0.002144
122,10.396133,1.015510,0.002105
123,10.505067,1.016322,0.002113
124,10.614533,1.027461,0.002139
125,10.724250,1.016937,0.002125
126,10.833717,1.041685,0.002156
127,10.943433,1.018869,0.002125
128,11.053150,0.997715,0.002087
129,11.162883,1.007427,0.002100
130,11.272600,1.012262,0.002115
131,11.382050,1.014601,0.002122
132,11.491517,1.013057,0.002125
133,11.600983,1.010418,0.002122
134,11.710433,1.033808,0.002154
135,11.819900,0.997228,0.002084
136,11.929350,0.990105,0.002079
137,12.038817,1.020397,0.002136
138,12.148533,1.036221,0.002159
139,12.257733,1.000934,0.002105
140,12.367200,1.013473,0.002126
141,12.476917,1.023674,0.002138
142,12.586383,0.994782,0.002091
143,12.695833,1.006780,0.002108
144,12.805567,1.030507,0.002156
145,12.915017,1.010722,0.002125
146,13.024217,1.033442,0.002155
147,13.133683,1.001135,0.002098
148,13.242883,0.981351,0.002063
149,13.352333,1.000660,0.002111
150,13.462067,0.988288,0.002079
151,13.571267,1.003017,0.002105
152,13.680983,1.000514,0.002100
153,13.790433,1.017162,0.002136
154,13.900683,1.029195,0.002164
155,14.010400,1.019866,0.002139
156,14.119600,1.007364,0.002107
157,14.229317,1.014624,0.002130
158,14.338783,0.997029,0.002089
159,14.448500,1.015960,0.002128
160,14.557967,0.998611,0.002103
161,14.667167,1.006741,0.002113
162,14.776617,1.005558,0.002106
163,14.886350,0.993185,0.002079
164,14.996067,1.019436,0.002134
165,15.105517,1.036007,0.002157
166,15.215250,1.011157,0.002113
167,15.324700,1.003635,0.002099
168,15.433900,1.010898,0.002121
169,15.543367,0.991759,0.002078
170,15.652817,0.991029,0.002083
171,15.762283,1.008020,0.002117
172,15.871750,1.009860,0.002114
173,15.981200,0.997961,0.002092
174,16.090667,1.010387,0.002114
175,16.200383,1.020114,0.002144
176,16.310100,1.008452,0.002111
178,16.529033,1.000594,0.002102
179,16.638233,0.999238,0.002106
180,16.747683,1.006997,0.002100
181,16.857400,1.009498,0.002116
182,16.967650,1.009762,0.002116
183,17.077100,1.011303,0.002111
212,20.248850,1.025879,0.002143
213,20.358317,1.010583,0.002119
214,20.467767,1.028872,0.002148
215,20.577233,1.021552,0.002147
216,20.686700,1.018109,0.002132
217,20.796150,1.024211,0.002139
218,20.905617,1.026662,0.002140
219,21.014817,1.018284,0.002134
220,21.124267,1.004690,0.002110
221,21.233467,1.032363,0.002152
222,21.343200,1.022317,0.002131
223,21.452650,1.003563,0.002110
224,21.561850,1.011214,0.002111
225,21.671317,1.031864,0.002162
226,21.781033,1.004788,0.002101
227,21.890500,1.040631,0.002173
228,22.000217,1.049278,0.002171
229,22.109933,1.011229,0.002117
230,22.219400,1.034383,0.002148
231,22.328850,1.031188,0.002149
232,22.438317,0.989582,0.002076
233,22.547517,1.009594,0.002113
234,22.656983,1.002073,0.002107
235,22.766700,1.023569,0.002136
236,22.876150,1.005782,0.002107
237,22.985883,1.013205,0.002125
238,23.095333,1.010941,0.002110
239,23.204800,1.011293,0.002113
240,23.314000,1.013891,0.002120
241,23.423717,1.014914,0.002128
242,23.532917,0.994708,0.002088
243,23.642383,1.014023,0.002124
244,23.751833,1.004966,0.002103
245,23.861300,1.030251,0.002146
246,23.970767,1.019731,0.002122
247,24.079967,1.006672,0.002105
248,24.189167,1.014908,0.002118
249,24.298617,1.040118,0.002162
250,24.408083,0.996582,0.002086
251,24.517283,1.026638,0.002137
252,24.627000,1.013056,0.002117
253,24.736467,1.007971,0.002106
254,24.845667,1.020564,0.002135
255,24.955117,0.988441,0.002082
256,25.064583,1.022298,0.002162
257,25.174033,1.003004,0.002101
258,25.283500,1.019694,0.002131
259,25.393217,1.014865,0.002115
260,25.502683,1.005005,0.002094
261,25.612133,1.005986,0.002112
262,25.721867,1.011867,0.002112
263,25.831067,1.029928,0.002146
264,25.940517,1.039688,0.002160
265,26.050250,1.039844,0.002167
266,26.159183,1.023467,0.002130
267,26.268650,1.011195,0.002122
268,26.378367,1.028646,0.002151
269,26.487567,1.017470,0.002118
270,26.597283,1.018252,0.002125
271,26.707000,1.014629,0.002117
272,26.816200,1.017390,0.002137
273,26.925667,0.993250,0.002095
274,27.035383,1.015559,0.002122
275,27.144583,0.983231,0.002075
276,27.254300,1.025803,0.002151
277,27.363767,1.009591,0.002122
278,27.472967,0.999302,0.002110
279,27.582417,1.019179,0.002136
280,27.692150,1.009084,0.002118
281,27.801350,0.956255,0.002027
282,27.911067,0.996516,0.002104
283,28.020783,0.998798,0.002100
284,28.130250,1.034912,0.002162
285,28.239967,0.980185,0.002063
286,28.349433,0.978971,0.002074
287,28.458633,0.987282,0.002079
288,28.568083,0.976338,0.002058
289,28.677283,1.007517,0.002101
290,28.786483,1.010463,0.002127
291,28.895950,1.008815,0.002111
292,29.005667,1.007676,0.002114
293,29.115133,0.988405,0.002081
300,29.881867,1.014758,0.002131
301,29.991333,1.024009,0.002143
302,30.101050,1.011497,0.002129
303,30.210767,1.006810,0.002110
304,30.320233,1.001926,0.002100
305,30.429950,1.001978,0.002091
306,30.539417,0.998977,0.002096
307,30.648617,1.013628,0.002109
308,30.758333,1.016010,0.002111
309,30.867783,0.995268,0.002094
310,30.977250,0.998576,0.002088
311,31.086450,0.992657,0.002084
312,31.195917,1.013511,0.002125
313,31.305367,1.014485,0.002122
314,31.414833,0.989786,0.002067
315,31.523767,1.026178,0.002140
316,31.632450,1.005467,0.002105
317,31.741650,1.024476,0.002142
318,31.851367,1.025843,0.002141
319,31.961100,1.028902,0.002149
320,32.070550,1.021495,0.002123
321,32.180017,1.014803,0.002117
322,32.289733,1.015286,0.002120
323,32.399717,1.021948,0.002137
324,32.509433,1.035341,0.002154
325,32.618900,1.017006,0.002134
326,32.728350,0.999151,0.002090
327,32.837817,1.042222,0.002163
328,32.947267,1.010400,0.002113
329,33.057000,1.023436,0.002135
330,33.166450,1.019093,0.002127
331,33.275917,0.994466,0.002091
332,33.385117,1.029329,0.002150
333,33.494583,1.003961,0.002090
334,33.603783,1.005699,0.002101
335,33.713233,1.024073,0.002140
336,33.822183,1.020005,0.002126
337,33.931117,1.027522,0.002143
338,34.040317,1.004247,0.002111
339,34.149783,1.034775,0.002163
340,34.259500,1.014627,0.002124
341,34.368950,1.024913,0.002147
342,34.478150,1.010207,0.002114
343,34.587617,1.022422,0.002135
344,34.697083,1.019720,0.002129
345,34.806800,1.010303,0.002116
346,34.916517,1.013251,0.002119
347,35.025717,0.995235,0.002092
348,35.135183,1.031568,0.002152
349,35.244633,0.994195,0.002085
350,35.353833,1.015412,0.002122
351,35.463300,1.042925,0.002174
352,35.572767,1.032629,0.002157
353,35.681967,1.045406,0.002183
354,35.791417,1.014115,0.002116
355,35.900883,0.995239,0.002098
356,36.010333,1.012196,0.002112
357,36.119800,1.013415,0.002114
358,36.229517,1.008115,0.002111
359,36.338717,0.989873,0.002078
360,36.448433,0.988708,0.002073
361,36.558167,1.015314,0.002120
362,36.668133,1.024127,0.002139
363,36.777333,1.003619,0.002106
364,36.887067,1.009367,0.002115
365,36.996783,1.026232,0.002139
366,37.106250,1.016818,0.002118
367,37.215700,1.013297,0.002123
368,37.325417,1.021024,0.002142
369,37.434617,1.010659,0.002113
370,37.544083,1.024764,0.002134
371,37.653800,1.009114,0.002101
372,37.763267,1.034141,0.002150
373,37.872717,1.011672,0.002115
374,37.982450,1.009078,0.002102
375,38.091900,1.012121,0.002119
376,38.201367,1.022157,0.002137
377,38.311083,0.985509,0.002067
378,38.420283,1.008563,0.002111
379,38.530000,1.013576,0.002119
380,38.639467,1.026726,0.002148
381,38.749183,1.021957,0.002140
382,38.858650,1.006727,0.002112
392,39.954283,1.030795,0.002162
393,40.064000,1.029496,0.002159
394,40.173467,1.026089,0.002154
395,40.282933,1.017957,0.002138
396,40.392383,1.028032,0.002150
397,40.502100,1.030381,0.002147
398,40.611567,1.026228,0.002153
399,40.721283,1.028919,0.002151
400,40.830750,1.026032,0.002148
401,40.940217,1.021795,0.002145
402,41.049667,1.036431,0.002161
403,41.159383,1.009135,0.002115
404,41.268583,1.006212,0.002108
405,41.378050,1.007283,0.002116
406,41.487517,1.006326,0.002105
407,41.596967,1.033693,0.002161
408,41.706433,1.006830,0.002115
409,41.816150,1.020865,0.002130
410,41.925617,1.041689,0.002172
411,42.035067,1.000544,0.002096
412,42.144533,1.016705,0.002126
413,42.253467,1.007493,0.002122
414,42.363183,1.019422,0.002146
415,42.472917,1.023042,0.002145
416,42.582367,1.013399,0.002130
417,42.691833,1.008429,0.002126
418,42.801550,1.000448,0.002111
419,42.911267,1.023067,0.002150
420,43.020467,0.999204,0.002103
421,43.130200,1.002575,0.002110
422,43.239917,1.035693,0.002155
423,43.349367,1.018215,0.002132
424,43.459100,1.030424,0.002157
425,43.568300,1.004984,0.002116
426,43.677750,1.011105,0.002122
427,43.787217,1.044150,0.002185
428,43.896667,0.997725,0.002100
429,44.006133,1.008372,0.002121
430,44.115333,1.031368,0.002162
431,44.225050,1.015232,0.002123
432,44.334250,0.983757,0.002070
433,44.443967,1.001836,0.002100
434,44.553700,1.002938,0.002107
435,44.663150,1.019279,0.002128
436,44.772617,1.005199,0.002112
437,44.882333,0.995084,0.002095
438,44.991800,1.002994,0.002105
439,45.101517,1.007169,0.002114
440,45.210983,1.009612,0.002123
441,45.320700,0.986534,0.002075
442,45.430150,1.007062,0.002121
443,45.539883,1.002828,0.002111
444,45.649600,1.009556,0.002118
445,45.759050,0.996904,0.002089
446,45.868517,1.017523,0.002126
447,45.978233,1.020454,0.002125
448,46.087950,1.008671,0.002115
449,46.197417,1.033346,0.002157
450,46.307133,1.011764,0.002123
451,46.416850,0.999875,0.002100
452,46.526050,1.030022,0.002164
453,46.635517,0.995757,0.002087
454,46.745233,1.021297,0.002138
455,46.854700,1.023735,0.002148
456,46.964167,1.041942,0.002187
457,47.073617,1.037713,0.002166
458,47.183083,1.015527,0.002117
459,47.292533,1.002883,0.002102
460,47.402000,1.018040,0.002130
461,47.511200,1.017349,0.002125
462,47.620917,1.020658,0.002132
463,47.730383,0.998833,0.002094
464,47.839833,1.003132,0.002105
465,47.949300,1.002201,0.002103
466,48.058767,1.035578,0.002158
467,48.167967,1.015145,0.002121
468,48.277683,0.991599,0.002084
469,48.387133,1.014127,0.002121
470,48.496600,1.027078,0.002135
471,48.606317,1.022857,0.002129
472,48.715783,1.003693,0.002100
473,48.824983,1.028927,0.002146
474,48.934700,1.004498,0.002102
475,49.043900,1.016625,0.002131
476,49.153367,1.022694,0.002141
477,49.262817,1.019225,0.002135
478,49.372800,1.033700,0.002164
479,49.482517,1.019553,0.002147
480,49.591717,1.032893,0.002169
481,49.701450,1.035218,0.002161
482,49.810900,1.004972,0.002106
483,49.920100,1.019591,0.002129
484,50.029817,1.002096,0.002093
485,50.139800,0.996621,0.002076
486,50.249267,1.021354,0.002139
487,50.358983,1.002073,0.002105
