#file number,time from start,flux,flux error
27,0.000000,79779,220
28,0.109717,80432,221
29,0.219183,82109,223
30,0.328650,80785,221
31,0.438100,82624,223
32,0.547567,80943,222
33,0.657017,81422,224
34,0.766217,82331,224
35,0.875417,82163,224
36,0.984367,80160,222
37,1.094083,80951,220
38,1.203033,81065,221
39,1.311700,81649,221
40,1.420650,80957,220
42,1.638533,79739,219
43,1.747200,82012,222
44,1.856400,82488,222
45,1.965600,81804,222
46,2.075067,79301,219
47,2.184000,82650,222
48,2.293467,82841,223
49,2.402933,81270,221
50,2.512133,79449,219
51,2.621850,80899,221
52,2.731300,79913,219
53,2.840767,81972,221
54,2.950233,80998,220
55,3.059950,81317,221
56,3.169150,79651,219
57,3.278617,80394,220
58,3.388333,79797,219
59,3.497783,82139,222
60,3.607517,80416,220
61,3.716967,79463,219
62,3.826167,80057,219
100,7.989567,80922,220
101,8.098767,81020,221
102,8.208483,80334,220
103,8.317950,80056,219
104,8.427417,82134,222
105,8.536617,81799,221
106,8.645550,82413,222
107,8.754500,80642,220
108,8.863433,82408,224
109,8.972367,81079,221
110,9.082350,81805,221
111,9.191550,79283,218
112,9.300750,81785,221
113,9.410217,80632,220
114,9.519417,82451,222
115,9.628867,81281,221
116,9.738600,82964,223
117,9.848317,80809,220
118,9.957000,82143,222
119,10.066967,82064,222
120,10.176950,81113,221
121,10.286417,80688,220
122,10.396133,81505,221
123,10.505067,81065,220
124,10.614533,81996,222
125,10.724250,81786,221
126,10.833717,80049,219
127,10.943433,80959,220
128,11.053150,80523,220
129,11.162883,81755,221
130,11.272600,80364,220
131,11.382050,82243,222
132,11.491517,80950,220
133,11.600983,80995,220
134,11.710433,82141,222
135,11.819900,80913,220
136,11.929350,82324,222
137,12.038817,80021,219
138,12.148533,79943,219
139,12.257733,82916,223
140,12.367200,80922,220
141,12.476917,82156,222
142,12.586383,81038,221
143,12.695833,80756,220
144,12.805567,81653,221
145,12.915017,81924,222
146,13.024217,79338,220
147,13.133683,80192,220
148,13.242883,83150,224
149,13.352333,81996,223
150,13.462067,80170,221
151,13.571267,82285,224
152,13.680983,80214,220
153,13.790433,80279,220
154,13.900683,79083,219
155,14.010400,80820,221
