#file number,time from start,flux,flux error
0,0.000000,22914,146
1,0.580900,24710,148
2,1.171483,24013,148
3,1.762350,21514,144
4,2.350067,18730,141
5,2.939050,14098,135
6,3.528350,20337,143
7,4.118917,25838,151
8,4.709850,23418,147
9,5.297517,25506,149
10,5.883667,28340,153
11,6.472683,26489,150
12,7.063050,28494,153
13,7.651283,28636,153
14,8.240817,28037,151
15,8.826933,29138,153
16,9.414633,30998,155
17,10.000217,35470,161
18,10.588467,36912,163
19,11.178283,39202,167
20,11.768633,40214,168
21,12.357633,40157,168
22,12.947183,41673,170
23,13.536750,42680,171
24,14.127117,41748,170
25,14.716683,43992,173
26,15.305650,45896,175
27,15.893333,46986,176
28,16.481017,52167,182
29,17.069733,52610,182
30,17.657400,52309,181
31,18.246383,52315,182
32,18.963183,50593,179
33,19.542300,51887,181
34,20.121417,54081,184
35,20.702033,53072,182
36,21.281367,52610,182
37,21.866733,51937,181
38,22.455500,49548,178
39,23.044483,52619,182
40,23.629567,53207,182
41,24.219300,53099,182
42,24.809417,53727,183
43,25.399717,55298,184
44,26.034267,54749,184
45,26.613667,54963,184
46,27.192900,55361,184
47,27.781217,55973,185
48,28.362850,55424,184
49,28.952217,55306,184
50,29.541800,54565,183
51,30.129867,54975,184
52,30.718650,53664,183
53,31.309017,53875,183
54,31.897783,52236,181
55,32.487883,51972,181
56,33.077717,52088,181
57,33.667233,53123,182
58,34.346283,54142,182
59,34.925467,55426,184
60,35.504500,55870,185
61,36.085150,56419,185
62,36.664350,56710,186
63,37.243633,57273,186
64,37.824833,57936,187
65,38.407800,57824,187
66,38.990250,58434,188
67,39.570583,58855,188
68,40.155100,58218,187
69,40.738550,58226,187
70,41.320967,58105,187
71,41.902617,58254,187
72,42.486883,57890,187
73,43.075900,57423,186
74,43.664933,55976,185
75,44.253167,55467,184
76,44.842117,55003,183
77,45.431617,56530,185
78,46.021917,58256,188
79,46.609367,57848,187
80,47.197833,58266,188
81,47.787350,58493,188
82,48.372517,57727,187
83,48.954417,58037,187
84,49.544400,57982,187
85,50.130500,57100,186
86,50.714483,57510,186
87,51.295900,58121,187
88,51.882217,57838,187
89,52.469833,57893,187
90,53.057983,58068,187
91,53.646133,57656,186
92,54.230633,58034,187
93,54.820850,58588,188
94,55.410567,58610,187
95,56.000283,58389,187
96,56.589200,58578,188
97,57.179950,58491,187
98,57.762617,58827,188
99,58.348433,58951,188
100,58.939450,58666,188
101,59.530450,59290,190
102,60.119900,57936,188
103,60.709600,58481,190
104,61.298283,58626,189
105,61.887983,56032,186
106,62.477967,54106,184
107,63.067150,59074,190
108,63.652950,59112,190
109,64.241083,58893,189
110,64.829483,57847,188
111,65.411133,52601,182
112,65.993283,52519,182
113,66.581433,57397,187
114,67.171133,56198,186
115,67.760050,55805,185
116,68.348200,54590,184
117,68.937900,56709,186
118,69.526567,56068,186
119,70.114200,57370,187
120,70.737483,56512,186
121,71.316767,57273,187
122,71.896067,55833,185
123,72.480050,56663,186
124,73.069233,54875,184
125,73.658667,51963,181
126,74.240833,50529,180
127,74.823517,45752,175
128,75.405417,37957,165
129,75.987817,30549,156
130,76.577017,20280,143
131,77.165933,14426,137
132,77.754350,18544,142
133,78.343267,22058,146
134,78.931417,24803,149
135,79.519817,29959,155
136,80.103017,34828,161
137,80.691933,34866,161
138,81.280867,22458,145
139,81.869267,27439,151
140,82.457417,32939,158
141,83.046333,36749,163
142,83.635000,37779,165
143,84.225750,38167,165
144,84.814933,43634,171
145,85.464783,53165,182
146,86.043817,54065,183
147,86.676217,53133,182
148,87.306800,52975,181
149,87.942850,53753,182
150,88.521883,54807,183
151,89.158983,54820,183
152,89.739050,54628,183
153,90.329283,55494,184
154,90.915083,57209,186
155,91.503750,57084,186
156,92.089283,53299,180
157,92.676917,56011,184
158,93.266100,57125,186
159,93.855550,53651,182
160,94.443700,52164,180
161,95.033667,50845,179
162,95.622850,35622,161
163,96.213867,22676,142
164,96.803567,19559,138
165,97.393017,12577,129
166,97.981933,10156,128
167,98.572167,12273,132
168,99.153533,9500,130
169,99.736200,11463,134
170,100.325917,13603,136
171,100.908850,15428,137
172,101.490750,14033,135
173,102.075767,19781,141
174,102.666000,28709,152
175,103.254400,33693,158
176,103.841767,44209,171
177,104.430683,48288,175
178,105.018833,52400,180
179,105.607750,52804,180
180,106.196417,56319,184
181,106.786917,55890,183
182,107.377400,56785,184
183,107.967133,57100,185
184,108.557867,57215,185
185,109.147833,57075,185
186,109.739367,57429,185
187,110.330383,55966,183
188,110.920100,56144,184
189,111.510583,56171,184
190,112.100033,54887,182
191,112.689733,53157,180
192,113.278417,50726,178
193,113.864750,49844,177
194,114.447417,50080,177
195,115.029850,52120,179
196,115.612267,53887,181
197,116.196250,55394,183
198,116.786217,56362,184
199,117.375150,57002,185
200,117.957033,57902,186
201,118.545433,58371,187
202,119.134883,58145,186
203,119.725117,58379,187
204,120.315600,58566,186
205,120.896467,58070,186
206,121.486167,57458,185
207,122.074850,57995,186
208,122.655950,58124,186
209,123.238117,57594,185
210,123.826517,58208,186
211,124.414667,56200,183
212,124.997083,56995,185
213,125.584950,56425,184
214,126.175700,56014,183
215,126.764100,55466,183
216,127.350683,55146,182
217,127.939367,56032,183
218,128.530633,56327,184
219,129.118533,56409,184
220,129.707200,55752,183
221,130.296900,55154,182
222,130.886600,53592,180
223,131.471367,53698,180
224,132.060017,55237,182
225,132.649483,55429,182
226,133.238133,47051,171
227,133.827067,33874,150
228,134.416500,41506,162
229,135.005167,54910,182
230,135.592533,54985,182
231,136.175983,54983,182
232,136.760483,52054,178
233,137.349417,51424,177
234,137.937817,49221,175
235,138.527783,50896,177
236,139.113850,51663,178
237,139.703567,52546,179
238,140.294317,54187,181
239,140.884550,53583,180
240,141.474250,53900,181
241,142.063967,53605,180
242,142.654717,52448,179
243,143.245200,50858,177
244,143.834900,50659,177
245,144.422017,49145,175
246,145.009383,46336,172
247,145.597250,46472,172
248,146.186183,43855,168
249,146.775367,40665,165
250,147.365600,35573,158
251,147.952950,32655,155
252,148.539800,31631,154
253,149.126117,33911,157
254,149.715817,32509,155
255,150.301100,28698,150
256,150.891333,26800,147
257,151.482083,26577,146
258,152.072567,24614,143
259,152.664617,23232,141
260,153.254050,23096,141
261,153.845067,20725,138
262,154.435817,19685,137
263,155.026567,16671,133
264,155.617317,18681,137
265,156.206517,13964,130
266,156.795950,14962,131
267,157.385400,17588,135
268,157.974317,17065,134
269,158.564550,17945,136
