#ImageNum,Time,NormRi,NormSigRi
18,0.000000,0.961641,0.248641
26,4.717183,0.799203,0.200345
27,5.304867,0.913766,0.195150
29,6.481267,0.818788,0.171072
31,7.657917,1.313051,0.173038
32,8.374717,0.986561,0.176548
33,8.953833,1.139382,0.174512
34,9.532950,0.983262,0.168545
35,10.113567,1.077186,0.171072
36,10.692900,0.992598,0.170511
37,11.278267,1.300977,0.175003
40,13.041100,0.820052,0.168054
41,13.630833,1.013657,0.166580
42,14.220950,0.853957,0.165246
43,14.811250,1.119516,0.161315
44,15.445800,1.024678,0.160332
45,16.025200,0.861187,0.159419
48,17.774383,0.994844,0.158998
50,18.953333,0.784110,0.159560
51,19.541400,1.112636,0.162859
52,20.130183,0.878597,0.166088
53,20.720550,0.992457,0.166439
56,22.489250,0.787901,0.170721
57,23.078767,0.840269,0.164825
58,23.757817,0.822859,0.161034
59,24.337000,0.849675,0.158226
60,24.916033,1.070869,0.157173
63,26.655167,0.952866,0.152189
64,27.236367,0.761787,0.148609
65,27.819333,0.835144,0.148960
68,29.566633,0.869892,0.147135
69,30.150083,1.131730,0.149170
70,30.732500,1.031909,0.149311
71,31.314150,1.002145,0.147416
72,31.898417,0.966344,0.148258
73,32.487433,0.796044,0.150574
74,33.076467,1.014078,0.156752
75,33.664700,0.892426,0.158156
76,34.253650,0.862872,0.158507
95,45.411817,0.998354,0.147696
97,46.591483,1.024117,0.147135
98,47.174150,0.842936,0.145450
99,47.759967,0.677199,0.145520
100,48.350983,0.990843,0.148468
101,48.941983,0.911941,0.151417
103,50.121133,0.811136,0.154857
104,50.709817,1.043702,0.150925
105,51.299517,0.640485,0.158717
106,51.889500,0.972802,0.167422
107,52.478683,0.948514,0.150715
109,53.652617,0.925559,0.150855
110,54.241017,1.011832,0.154927
112,55.404817,1.164934,0.169036
113,55.992967,0.773230,0.152751
114,56.582667,0.928858,0.157033
115,57.171583,0.776950,0.158086
117,58.349433,0.875718,0.155769
118,58.938100,0.802572,0.156682
119,59.525733,1.068341,0.153944
120,60.149017,1.001934,0.154716
121,60.728300,0.951532,0.153593
122,61.307600,1.066165,0.158577
124,62.480767,1.102036,0.161315
125,63.070200,1.109477,0.173038
126,63.652367,0.956797,0.176828
141,72.457867,1.129484,0.246816
144,74.226467,0.977716,0.205259
145,74.876317,1.098175,0.164825
146,75.455350,0.832547,0.158296
147,76.087750,0.790077,0.162368
148,76.718333,1.305821,0.162999
149,77.354383,1.042930,0.158507
150,77.933417,1.110390,0.156401
151,78.570517,1.082100,0.155980
153,79.740817,0.908009,0.153593
154,80.326617,1.250996,0.149592
155,80.915283,1.001513,0.149732
156,81.500817,1.023274,0.161034
157,82.088450,1.043562,0.150434
158,82.677633,1.131098,0.147205
159,83.267083,1.013657,0.158366
161,84.445200,1.083223,0.168264
176,93.253300,1.308980,0.198871
177,93.842217,1.215546,0.175214
178,94.430367,0.752802,0.161455
179,95.019283,1.057671,0.160262
180,95.607950,1.006708,0.148188
181,96.198450,1.031558,0.147135
182,96.788933,0.739675,0.144537
183,97.378667,0.832828,0.143765
184,97.969400,0.802502,0.144748
186,99.150900,0.761506,0.144397
187,99.741917,0.870454,0.146012
188,100.331633,0.977786,0.145941
189,100.922117,0.959815,0.148258
190,101.511567,0.841321,0.150504
193,103.276283,0.880913,0.171142
194,103.858950,0.834933,0.167001
196,105.023800,0.928016,0.155629
197,105.607783,1.015623,0.151136
199,106.786683,1.021660,0.146222
200,107.368567,0.996880,0.142431
201,107.956967,0.914397,0.143765
202,108.546417,0.895444,0.141870
203,109.136650,0.940300,0.141168
205,110.308000,1.162336,0.142502
206,110.897700,0.727812,0.141800
207,111.486383,1.008112,0.142993
208,112.067483,1.184027,0.143555
210,113.238050,1.028188,0.142642
212,114.408617,1.017799,0.145380
213,114.996483,1.069675,0.146292
214,115.587233,1.053600,0.148328
216,116.762217,1.071781,0.149521
217,117.350900,1.082662,0.148328
218,117.942167,0.841813,0.147977
219,118.530067,1.116638,0.146503
220,119.118733,1.144646,0.149311
221,119.708433,1.076133,0.152329
222,120.298133,1.295010,0.155418
223,120.882900,0.865470,0.153172
224,121.471550,0.811347,0.150504
225,122.061017,0.892215,0.147416
229,124.416700,0.971890,0.147907
231,125.587517,0.999056,0.148819
232,126.172017,1.020958,0.159700
235,127.939317,1.070096,0.163491
238,129.705850,0.854659,0.150223
240,130.885783,1.049107,0.153242
241,131.475500,0.967678,0.154646
242,132.066250,0.873191,0.157313
244,133.246433,0.785725,0.163350
246,134.420917,1.131168,0.180760
249,136.186900,0.927103,0.209892
315,175.068717,1.140435,0.244780
344,192.136400,0.505846,0.339687
350,195.672817,1.179535,0.278896
351,196.263317,1.238431,0.275246
355,198.621633,1.282585,0.264435
356,199.211350,1.633224,0.280090
357,199.801317,1.495987,0.271174
364,203.929300,1.486861,0.240287
366,205.100667,1.505955,0.264155
