#Filenum,Time,flux,errFlux,weightMean,errWeightMean,ratio,ratioErr
18,0.000000,352,91,25695.227941,48.298242,0.013699,0.003542
26,4.717183,351,88,30829.716648,50.544325,0.011385,0.002854
27,5.304867,412,88,31650.814909,50.851562,0.013017,0.002780
29,6.481267,402,84,34464.678332,51.770545,0.011664,0.002437
31,7.657917,645,85,34482.494149,51.771818,0.018705,0.002465
32,8.374717,475,85,33798.575419,51.474346,0.014054,0.002515
33,8.953833,555,85,34194.791963,51.618899,0.016231,0.002486
34,9.532950,490,84,34981.974032,51.898274,0.014007,0.002401
35,10.113567,529,84,34473.017661,51.611358,0.015345,0.002437
36,10.692900,489,84,34582.860452,51.704173,0.014140,0.002429
37,11.278267,632,85,34101.054626,51.571823,0.018533,0.002493
40,13.041100,405,83,34668.599101,51.583668,0.011682,0.002394
41,13.630833,505,83,34972.359136,51.825405,0.014440,0.002373
42,14.220950,429,83,35265.742877,51.894177,0.012165,0.002354
43,14.811250,569,82,35679.278577,51.922295,0.015948,0.002298
44,15.445800,524,82,35897.185978,51.972682,0.014597,0.002284
45,16.025200,443,82,36108.814809,52.209361,0.012268,0.002271
48,17.774383,513,82,36198.382030,52.077427,0.014172,0.002265
50,18.953333,403,82,36078.091059,52.173878,0.011170,0.002273
51,19.541400,567,83,35773.671755,52.061779,0.015850,0.002320
52,20.130183,439,83,35075.879603,51.693716,0.012516,0.002366
53,20.720550,495,83,35012.797698,51.627379,0.014138,0.002371
56,22.489250,383,83,34122.147839,51.401775,0.011224,0.002432
57,23.078767,418,82,34921.541819,51.501377,0.011970,0.002348
58,23.757817,414,81,35317.007115,51.586455,0.011722,0.002294
59,24.337000,435,81,35939.907657,51.816965,0.012104,0.002254
60,24.916033,552,81,36184.387155,51.917499,0.015255,0.002239
63,26.655167,501,80,36907.614458,52.202928,0.013574,0.002168
64,27.236367,405,79,37320.718372,52.400356,0.010852,0.002117
65,27.819333,443,79,37235.640321,52.322091,0.011897,0.002122
67,28.982117,445,79,37523.074394,52.426723,0.011859,0.002105
68,29.566633,467,79,37684.635102,52.493082,0.012392,0.002096
69,30.150083,607,80,37651.471571,52.582787,0.016122,0.002125
70,30.732500,553,80,37618.360933,52.510074,0.014700,0.002127
71,31.314150,537,79,37616.305120,52.369432,0.014276,0.002100
72,31.898417,515,79,37411.160688,52.411669,0.013766,0.002112
73,32.487433,423,80,37300.338194,52.448439,0.011340,0.002145
74,33.076467,524,81,36272.074690,51.996112,0.014446,0.002233
