#file number,time from start,flux,flux error
18,0.000000,35755,161
26,4.717183,44198,172
27,5.304867,45565,174
29,6.481267,50063,179
31,7.657917,50063,178
32,8.374717,48706,177
33,8.953833,49236,177
34,9.532950,50830,179
35,10.113567,50567,179
36,10.692900,50520,179
37,11.278267,49660,178
40,13.041100,50810,179
41,13.630833,50980,179
42,14.220950,51584,180
43,14.811250,52573,181
44,15.445800,52815,181
45,16.025200,52767,181
48,17.774383,53014,181
50,18.953333,52896,181
51,19.541400,52365,181
52,20.130183,51031,179
53,20.720550,51425,179
56,22.489250,49453,177
57,23.078767,51376,179
58,23.757817,51673,179
59,24.337000,52807,181
60,24.916033,53288,181
63,26.655167,54698,183
64,27.236367,55485,184
65,27.819333,55366,183
67,28.982117,55772,184
68,29.566633,55928,184
69,30.150083,55916,184
70,30.732500,55640,184
71,31.314150,56188,184
72,31.898417,54939,183
73,32.487433,55344,184
74,33.076467,52871,181
75,33.664700,52612,180
76,34.253650,52644,180
77,34.843150,53805,182
79,36.020900,55243,184
81,37.198883,55844,184
82,37.784050,55033,183
83,38.365950,55561,184
84,38.955933,54821,183
85,39.542033,54846,183
86,40.126017,55064,183
87,40.707433,55251,183
88,41.293750,55190,183
89,41.881367,55544,184
90,42.469517,55997,184
91,43.057667,55616,184
92,43.642167,55555,183
93,44.232383,55879,184
94,44.822100,55460,183
95,45.411817,56128,184
97,46.591483,56165,184
98,47.174150,56132,184
99,47.759967,56302,184
100,48.350983,56278,185
101,48.941983,56151,186
103,50.121133,56011,186
104,50.709817,56854,187
105,51.299517,54778,185
106,51.889500,51813,181
107,52.478683,56734,187
109,53.652617,57090,187
110,54.241017,56115,186
112,55.404817,50636,179
113,55.992967,54599,183
114,56.582667,53314,182
115,57.171583,53828,183
117,58.349433,54575,183
118,58.938100,54111,183
119,59.525733,55581,185
120,60.149017,54573,183
121,60.728300,55706,185
122,61.307600,54288,183
124,62.480767,53156,182
125,63.070200,50093,179
126,63.652367,48878,177
141,72.457867,36872,163
144,74.226467,44344,172
145,74.876317,52246,181
146,75.455350,52957,181
147,76.087750,51880,180
148,76.718333,52311,180
149,77.354383,52940,181
150,77.933417,53825,182
151,78.570517,53975,182
153,79.740817,54342,182
154,80.326617,56021,184
155,80.915283,56121,184
156,81.500817,49879,176
157,82.088450,54964,183
158,82.677633,55846,184
159,83.267083,52127,179
161,84.445200,50288,178
176,93.253300,43657,170
177,93.842217,48185,175
178,94.430367,51381,178
179,95.019283,52274,179
180,95.607950,55240,183
181,96.198450,55048,182
182,96.788933,55817,183
183,97.378667,56181,184
184,97.969400,56151,183
186,99.150900,56083,183
187,99.741917,55411,182
188,100.331633,55056,182
189,100.922117,55129,182
190,101.511567,54106,181
193,103.276283,48976,175
194,103.858950,49651,176
196,105.023800,53152,180
197,105.607783,54480,182
199,106.786683,56131,184
200,107.368567,56866,185
201,107.956967,56873,185
202,108.546417,57027,185
203,109.136650,56929,185
205,110.308000,56732,184
206,110.897700,56221,183
207,111.486383,56438,183
208,112.067483,56614,184
210,113.238050,56521,184
212,114.408617,55241,182
213,114.996483,54830,182
214,115.587233,54606,181
216,116.762217,53887,181
217,117.350900,54368,181
218,117.942167,54563,181
219,118.530067,55022,182
220,119.118733,54530,181
221,119.708433,53458,180
222,120.298133,52264,179
223,120.882900,52634,179
224,121.471550,53634,180
225,122.061017,53757,180
227,123.238600,33781,150
229,124.416700,54113,181
231,125.587517,54066,180
232,126.172017,51475,178
235,127.939317,49747,175
238,129.705850,53668,180
240,130.885783,52856,179
241,131.475500,52525,179
242,132.066250,51105,177
243,132.656733,50058,176
244,133.246433,49706,175
246,134.420917,45273,170
249,136.186900,39628,163
273,150.333867,21357,140
315,175.068717,36112,162
344,192.136400,23054,134
350,195.672817,3168,95
351,196.263317,3119,94
355,198.621633,3500,95
356,199.211350,3206,96
357,199.801317,3338,95
364,203.929300,3785,94
366,205.100667,3299,94
