
Nov 11 20:18 [nebula_avg.cal.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
   4958.89 8.613E-10 -9.975E-8     115.8 -1.334E-9     70.24        0.
  4999.892 6.985E-10 1.6725E-9    -2.394 8.643E-10     1.818        0.
  4999.894 3.837E-10 3.0016E-9    -7.823 1.1760E-9     2.398        0.
  4999.921 8.107E-11 4.7246E-9    -58.28 1.4418E-9     3.078        0.
  4999.917 1.322E-10 4.3927E-9    -33.23 1.4005E-9     2.947        0.
  4999.917 1.294E-10 4.4104E-9    -34.09 1.4029E-9     2.953        0.
  4942.437 2.445E-10 -2.186E-6     8940. -1.58E-10    13034.        0.
  4946.419 1.257E-10 8.890E-10    -7.073 3.844E-10     2.173        0.
  4946.411 1.114E-10 9.548E-10     -8.57 3.979E-10     2.254        0.
  4946.412 6.520E-11 1.1843E-9    -18.16 4.394E-10     2.532        0.
  4848.062 1.932E-11 2.613E-10    -13.52 1.132E-10      2.17        0.
  4848.057 3.612E-11 1.917E-10    -5.307 9.748E-11     1.848        0.
  4848.059 3.557E-11 1.938E-10    -5.448 9.801E-11     1.857        0.

Nov 11 20:39 [nebula_avg.cal.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
   4793.87 7.451E-23 -2.85E-20     382.1 -1.05E-22     253.9        0.
  4737.875 -2.47E-23 1.579E-22     INDEF 5.913E-23     2.508        0.
  4737.893 -2.29E-23 1.475E-22     INDEF 5.791E-23     2.393        0.
  4737.875 -1.50E-23 1.112E-22     INDEF 5.108E-23     2.045        0.
  4737.933 -1.77E-23 1.215E-22     INDEF 5.384E-23     2.121        0.

Nov 11 20:49 [nebula_avg.cal.fits]: 
  4737.898 -3.15E-12 2.024E-11     INDEF 7.797E-12     2.438        0.
  4737.893 -3.01E-12 1.943E-11     INDEF 7.699E-12     2.371        0.
  4712.778 -3.01E-12 1.991E-11     INDEF 6.953E-12      2.69        0.
  4712.776 -2.90E-12 1.928E-11     INDEF 6.882E-12     2.631        0.
  4712.796 -2.84E-12 1.891E-11     INDEF 6.829E-12     2.601        0.
  4690.121 -2.33E-23 1.223E-21     INDEF 4.845E-22     2.372        0.
  4690.125 -2.25E-23 1.219E-21     INDEF 4.845E-22     2.364        0.
  4690.125 -2.40E-23 1.227E-21     INDEF 4.855E-22     2.375        0.
  4687.354 2.369E-22 -1.25E-18     5295. -1.15E-22    10229.        0.
  4772.169 1.609E-22 -8.47E-19     5263. -1.78E-22     4463.        0.

Nov 11 20:58 [nebula_avg.cal.fits]: 
  4999.921 6.157E-13 5.2913E-9    -8594. 1.5029E-9     3.308        0.
  4999.923 3.300E-12 5.2718E-9    -1598. 1.5008E-9       3.3        0.
   4999.92 5.327E-12 5.2568E-9    -986.8 1.4994E-9     3.294        0.

Nov 11 21:04 [nebula_avg.cal.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  5035.732 1.7874E-9 -1.490E-7     83.35 -1.379E-9     101.5        0.
  4946.407 -4.70E-13 1.5766E-9     INDEF 4.920E-10      3.01        0.
  4946.423 -2.72E-12 1.5918E-9     INDEF 4.938E-10     3.028        0.
  4946.433 -2.49E-12 1.5903E-9     INDEF 4.935E-10     3.027        0.
  4848.067 -3.44E-12 3.818E-10     INDEF 1.314E-10      2.73        0.
  4848.066 -1.04E-12 3.673E-10     INDEF 1.297E-10     2.661        0.
  4848.066 -1.04E-12 3.673E-10     INDEF 1.297E-10     2.661        0.
  4848.075 -3.10E-12 3.799E-10     INDEF 1.311E-10     2.722        0.
  4372.785 -4.46E-12 4.932E-11     INDEF 9.041E-12     5.125        0.
  4372.825 -4.29E-12 4.587E-11     INDEF 9.225E-12     4.671        0.
  4372.825 -4.29E-12 4.586E-11     INDEF 9.226E-12      4.67        0.
  4372.228 -4.59E-12 6.030E-11     INDEF 7.732E-12     7.327        0.
    4344.7 -4.69E-12 1.257E-10     INDEF 3.069E-11     3.848        0.
  4344.694 -4.61E-12 1.250E-10     INDEF 3.064E-11     3.834        0.
  4344.698 -4.54E-12 1.244E-10     INDEF 3.059E-11      3.82        0.
