center,flux,eqw,gfwhm (total=22 lines)
4932.14,3.88E-12,-1781,6.678
4932.13,3.90E-12,-4159,6.718
4932.14,3.94E-12,NaN,6.768
4920.21,3.97E-12,-1832,4.931
4920.22,3.98E-12,NaN,4.927
4920.22,3.98E-12,NaN,4.927
4909.99,6.75E-12,-3115,11.74
4909.98,6.88E-12,NaN,11.84
4909.99,6.8E-12,NaN,11.81
4842.18,6.56E-12,NaN,12.26
4842.2,6.53E-12,NaN,12.22
4842.19,6.61E-12,NaN,12.33
4825.05,8.17E-12,NaN,13.99
4825.02,8.26E-12,NaN,14.15
4825.03,8.18E-12,NaN,13.97
4803.32,9.01E-12,NaN,15.04
4803.4,8.84E-12,NaN,14.7
4803.34,9.02E-12,NaN,15.07
4765,1.06E-11,-9853,12.88
4765.74,1.06E-11,-9790,12.88
4765.55,1.01E-11,-344,12.08
4751.45,8.41E-12,-3624,11.85
4751.43,8.37E-12,-2481,11.8
4750.87,9.46E-12,NaN,13.27
4722.02,9.86E-12,-9116,12.76
4721.69,7.99E-12,-1630,9.704
4721.65,8.11E-12,-2832,9.85
4637.15,4.13E-12,-21.4,2.40
4637.15,4.17E-12,-22.4,2.42
4637.14,4.17E-12,-22.38,2.42
4630.64,4.57E-12,-70.88,4.09
4630.63,4.69E-12,-92.75,4.14
4630.63,4.64E-12,-82.32,4.12
4560.61,5.26E-12,0,0
4560.6,5.52E-12,0,0
4560.67,5.42E-12,0,0
4537.26,1.08E-11,-5744,12.32
4537.3,1.02E-11,0,0
4537.35,1.05E-11,0,0
4527.73,3.58E-12,-1487,5.868
4527.92,3.86E-12,0,0
4527.79,3.80E-12,0,0
4514.84,9.67E-12,-3097,12.84
4514.68,9.67E-12,0,0
4514.84,9.65E-12,0,0
4497.09,1.16E-11,-2822,11.21
4497.19,1.17E-11,0,0
4497.08,1.16E-11,0,0
4484.23,9.50E-12,-1974,8.426
4484.16,9.60E-12,0,0
4484.23,9.51E-12,0,0
4468.26,1.37E-11,-2400,9.555
4468.26,1.40E-11,0,0
4468.26,1.37E-11,0,0
4440.83,2.07E-11,0,0
4439.66,1.7E-11,0,0
4439.7,1.7E-11,0,0
4414.71,1.28E-11,0,0
4414.71,6.56E-12,0,0
4414.71,1.28E-11,0,0
4388.93,1.56E-11,0,0
4388.94,1.54E-11,0,0
4388.93,1.56E-11,0,0
4377.69,6.57E-12,0,0
4377.7,6.56E-12,0,0
4377.69,6.58E-12,0,0

