# wavelength,sig_wl,flux,sig_flux
4.932136666666666315e+03,2.721655269818494711e-03,3.906666666666666715e-12,1.440164599646193435e-14
4.920216666666667152e+03,2.721655269818494711e-03,3.976666666666666214e-12,2.721655269758910497e-15
4.909986666666666679e+03,2.721655269818494711e-03,6.810000000000000265e-12,3.091206165165225707e-14
4.842189999999999600e+03,4.714045207798845012e-03,6.566666666666667093e-12,1.905158688831370705e-14
4.825033333333332848e+03,7.200822998201018323e-03,8.203333333333333181e-12,2.325383281828520229e-14
4.803353333333333467e+03,1.962613525845414986e-02,8.956666666666667209e-12,4.768725274194418466e-14
4.765430000000000291e+03,1.811690432226544800e-01,1.043333333333333317e-11,1.360827634879543183e-13
4.751250000000000000e+03,1.552059563576786982e-01,8.746666666666665478e-12,2.913696900782517123e-13
4.721786666666665951e+03,9.572336685995348760e-02,8.653333333333333889e-12,4.934309212788293400e-13
4.637146666666666533e+03,2.721655269570961381e-03,4.156666666666666659e-12,1.088662107903630148e-14
4.630633333333334122e+03,2.721655269818494711e-03,4.633333333333332843e-12,2.841491522787636665e-14
4.560626666666666097e+03,1.784708711578099696e-02,5.399999999999999609e-12,6.182412330330471609e-14
4.537303333333334194e+03,2.125680718860167850e-02,1.049999999999999767e-11,1.414213562373094546e-13
4.527813333333332594e+03,4.578532839574588065e-02,3.746666666666667396e-12,6.949553676049728154e-14
4.514786666666666861e+03,4.354648431610578380e-02,9.663333333333333826e-12,5.443310539518260389e-15
4.497119999999999891e+03,2.867441755669457304e-02,1.163333333333333452e-11,2.721655269759086176e-14
4.484206666666666024e+03,1.905158688823439805e-02,9.536666666666666757e-12,2.596293654566202906e-14
4.468260000000000218e+03,0.000000000000000000e+00,1.380000000000000017e-11,8.164965809277258844e-14
4.440063333333332594e+03,3.131323232307184901e-01,1.823333333333333305e-11,1.007012449810862576e-12
4.414710000000000036e+03,0.000000000000000000e+00,1.072000000000000117e-11,1.698312888329670143e-12
4.388933333333333394e+03,2.721655269570961381e-03,1.553333333333333204e-11,5.443310539518172352e-14
4.377693333333332703e+03,2.721655269818494711e-03,6.570000000000000480e-12,4.714045207910201189e-15
