# Highest max, next closest min, and the following maximum for all 
#  curves of the sun
# Key: file,BigMaxX,BigMaxY,NextMinY,NextMaxX
interferometry_baseline_30_alt_32_sun,0.143436,0.171307,0.0861353,0.156212
interferometry_baseline_30_alt_32_sun,0.15612,0.252799,0.102959,0.169687
interferometry_baseline_30_alt_32_sun,0.169687,0.264366,0.10664,0.183959
interferometry_baseline_35_alt_32_sun,0.0740327,0.191974,0.130418,0.0843464
interferometry_baseline_35_alt_32_sun,0.084364,0.2461,0.153456,0.0966704
interferometry_baseline_35_alt_32_sun,0.0966704,0.24669,0.136177,0.108732
interferometry_baseline_40_alt_32_sun,0.109848,0.198155,0.133145,0.120736
interferometry_baseline_40_alt_32_sun,0.120736,0.232475,0.150965,0.132713
interferometry_baseline_40_alt_32_sun,0.132713,0.241055,0.151955,0.14578
interferometry_baseline_45_alt_32_sun,0.126694,0.18808,0.149189,0.136244
interferometry_baseline_45_alt_32_sun,0.136308,0.212557,0.164963,0.146051
interferometry_baseline_45_alt_32_sun,0.146051,0.235946,0.185632,0.153923
interferometry_baseline_50_alt_32_sun,0.122988,0.214889,0.199129,0.125859
interferometry_baseline_50_alt_32_sun,0.125896,0.225012,0.206304,0.130534
interferometry_baseline_50_alt_32_sun,0.135283,0.228216,0.209508,0.13694
interferometry_baseline_55_alt_31_sun,0.156502,0.154267,0.137355,0.164522
interferometry_baseline_55_alt_31_sun,0.164522,0.168783,0.249207,0.171511
interferometry_baseline_55_alt_31_sun,0.171511,0.171979,0.13951,0.178452
interferometry_baseline_60_alt_32_sun_2,0.131558,0.220661,0.181142,0.138929
interferometry_baseline_60_alt_32_sun_2,0.138929,0.228071,0.188757,0.14546
interferometry_baseline_60_alt_32_sun_2,0.145509,0.223131,0.165704,0.153722
interferometry_baseline_65_alt_32_sun_3,0.132638,0.245728,0.205668,0.138185
interferometry_baseline_65_alt_32_sun_3,0.138185,0.249778,0.196216,0.144414
interferometry_baseline_65_alt_32_sun_3,0.144414,0.241677,0.185413,0.150416
interferometry_baseline_70_alt_32_sun_2,0.1913176,0.242466,0.185741,0.198472
interferometry_baseline_70_alt_32_sun_2,0.198472,0.238886,0.174175,0.205198
interferometry_baseline_70_alt_32_sun_2,0.205198,0.225669,0.150769,0.211452
interferometry_baseline_77_alt_32_sun_3,0.134392,0.225758,0.16753,0.141224
interferometry_baseline_77_alt_32_sun_3,0.141224,0.225758,0.177551,0.0146169
interferometry_baseline_77_alt_32_sun_3,0.146169,0.220441,0.155575,0.151023
